market_id,title,outcome,probability,volume,liquidity
558979,Will Panama win the 2026 FIFA World Cup?,No,0.9995,17265959.175756883,9364496.63961
558978,Will Curaçao win the 2026 FIFA World Cup?,No,0.9995,40085193.71691623,8982321.94206
558977,Will Haiti win the 2026 FIFA World Cup?,No,0.9995,19956563.91882009,9657753.97346
558971,Will Qatar win the 2026 FIFA World Cup?,No,0.9995,28919098.836331856,9637993.63487
558970,Will Cape Verde win the 2026 FIFA World Cup?,No,0.9995,27151702.33516404,9543125.38325
558972,Will Saudi Arabia win the 2026 FIFA World Cup?,No,0.9995,31542095.15388373,9170444.67157
558982,Will Iraq win the 2026 FIFA World Cup?,No,0.9995,16174095.778710926,9901796.31534
558960,Will Uzbekistan win the 2026 FIFA World Cup?,No,0.9995,44505163.65141758,8166856.66144
558962,Will Jordan win the 2026 FIFA World Cup?,No,0.9995,30142611.611882783,9447411.16859
558964,Will South Africa win the 2026 FIFA World Cup?,No,0.9995,30704511.96789428,8794145.15402
558957,Will New Zealand win the 2026 FIFA World Cup?,No,0.9995,34750842.890645176,9126899.02637
558981,Will Congo DR win the 2026 FIFA World Cup?,No,0.9995,20094537.330787968,6561890.35452
558959,Will Iran win the 2026 FIFA World Cup?,No,0.9985,28615033.070790116,6723510.61794
558954,Will Tunisia win the 2026 FIFA World Cup?,No,0.9985,25506416.599685844,9372115.08666
558958,Will Australia win the 2026 FIFA World Cup?,No,0.9985,27313918.16356737,8429602.16323
558969,Will Algeria win the 2026 FIFA World Cup?,No,0.9985,24851700.847214747,8790588.23769
540881,GTA VI released before June 2026?,No,0.9985,14789588.437279034,103117.59962
558983,Will Bosnia-Herzegovina win the 2026 FIFA World Cup?,No,0.9975,12102969.686342765,9502327.48616
558956,Will Paraguay win the 2026 FIFA World Cup?,No,0.9975,22771845.122935753,8156009.39408
558984,Will Czechia win the 2026 FIFA World Cup?,No,0.9975,10745892.61475357,7203573.97379
558967,Will Ghana win the 2026 FIFA World Cup?,No,0.9975,21765766.7658141,9364996.39268
558952,Will Canada win the 2026 FIFA World Cup?,No,0.9965,26476001.167354554,8532355.14953
558961,Will South Korea win the 2026 FIFA World Cup?,No,0.9965,27585515.898459394,6099996.62035
558973,Will Scotland win the 2026 FIFA World Cup?,No,0.9965,22884233.50455671,8242610.43499
558966,Will Ivory Coast win the 2026 FIFA World Cup?,No,0.9965,26008002.927558232,6950652.53906
558968,Will Egypt win the 2026 FIFA World Cup?,No,0.9965,26774584.14728987,8013534.24939
558980,Will Sweden win the 2026 FIFA World Cup?,No,0.9945,13830157.95045897,7468717.90081
558975,Will Austria win the 2026 FIFA World Cup?,No,0.9945,26995951.08979581,2555880.71645
559680,Will Phil Murphy win the 2028 Democratic presidential nomination?,No,0.9935,39606906.43802561,2512258.94896
559666,Will Tim Walz win the 2028 Democratic presidential nomination?,No,0.9935,40569405.60938139,1973408.94707
558965,Will Senegal win the 2026 FIFA World Cup?,No,0.9935,20446098.873328503,4935523.53667
558985,Will Turkiye win the 2026 FIFA World Cup?,No,0.9935,13595367.027393905,3824268.11358
559674,Will Jared Polis win the 2028 Democratic presidential nomination?,No,0.9925,25440296.048294086,619832.77161
559678,Will Liz Cheney win the 2028 Democratic presidential nomination?,No,0.9925,36228785.61753177,1316453.26058
559676,Will Barack Obama win the 2028 Democratic presidential nomination?,No,0.9925,29995028.107029717,1913307.97837
559670,Will Gina Raimondo win the 2028 Democratic presidential nomination?,No,0.9925,32487395.542080905,2136561.29484
559671,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,No,0.9925,36372772.889768176,2065313.51888
559677,Will Hillary Clinton win the 2028 Democratic presidential nomination?,No,0.9925,41976105.434024766,2326260.78638
559679,Will Bernie Sanders win the 2028 Democratic presidential nomination?,No,0.9925,49596283.30997247,1468239.57754
559664,Will Raphael Warnock win the 2028 Democratic presidential nomination?,No,0.9925,29118471.149883296,1614554.26387
558955,Will Ecuador win the 2026 FIFA World Cup?,No,0.9925,25530142.293922786,4878516.61561
544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,No,0.992,79576.955177,5630.94993
559673,Will John Fetterman win the 2028 Democratic presidential nomination?,No,0.9915,19817476.22094321,1468191.54903
558976,Will Croatia win the 2026 FIFA World Cup?,No,0.9915,24555686.79365781,4036882.20167
559672,Will Roy Cooper win the 2028 Democratic presidential nomination?,No,0.9905,30322571.57410646,1495648.47621
558974,Will Switzerland win the 2026 FIFA World Cup?,No,0.9905,20653380.673896424,1733175.15954
559665,Will Cory Booker win the 2028 Democratic presidential nomination?,No,0.9905,24091545.461219914,1663766.76975
559662,Will Mark Cuban win the 2028 Democratic presidential nomination?,No,0.9905,21836676.886732407,1797853.38864
558943,Will USA win the 2026 FIFA World Cup?,No,0.9895,36785354.8268182,3993434.55503
558944,Will Uruguay win the 2026 FIFA World Cup?,No,0.9895,20276078.097477473,6236271.56342
558945,Will Mexico win the 2026 FIFA World Cup?,No,0.9895,22277593.221056584,4083981.87574
559657,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,No,0.9895,20471054.873435248,783059.01696
559656,Will Wes Moore win the 2028 Democratic presidential nomination?,No,0.9875,16112018.127890958,667041.18188
559659,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,No,0.9875,9724013.977179145,549600.36711
559675,Will Jon Stewart win the 2028 Democratic presidential nomination?,No,0.9875,23104993.400582075,1071870.6667
559667,Will Michelle Obama win the 2028 Democratic presidential nomination?,No,0.9865,25361471.706016254,1714211.92833
558963,Will Morocco win the 2026 FIFA World Cup?,No,0.9855,23726578.650625277,2917891.25903
559663,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,No,0.9835,14396817.944945028,484556.98473
558947,Will Colombia win the 2026 FIFA World Cup?,No,0.9835,18542611.92904044,5091838.92676
544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,No,0.983,85403.20976100054,3461.97202
558949,Will Japan win the 2026 FIFA World Cup?,No,0.9825,25518868.957976215,603131.83757
558946,Will Belgium win the 2026 FIFA World Cup?,No,0.9815,18405820.98384224,3357700.18406
553857,Will the Cleveland Cavaliers win the 2026 NBA Finals?,No,0.9805,17375461.412701923,520947.53533
559668,Will Mark Kelly win the 2028 Democratic presidential nomination?,No,0.9785,15334169.506905468,462448.77996
559669,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,No,0.9785,13668094.876980983,751402.10048
558951,Will Norway win the 2026 FIFA World Cup?,No,0.9755,21065058.38735249,3065715.24538
559660,Will Andy Beshear win the 2028 Democratic presidential nomination?,No,0.9735,11988062.709091902,501758.49966
544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,No,0.9705,135915.9230470003,5046.39503
558941,Will Netherlands win the 2026 FIFA World Cup?,No,0.9655,21089219.11029168,1650809.37748
559654,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,No,0.9585,10626691.313145624,355538.54379
559655,Will Josh Shapiro win the 2028 Democratic presidential nomination?,No,0.9515,8330304.416215233,392137.02046
544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,No,0.9505,164591.78771399948,5303.79755
558939,Will Germany win the 2026 FIFA World Cup?,No,0.9485,19238382.499652807,954404.50843
559661,Will Jon Ossoff win the 2028 Democratic presidential nomination?,No,0.9425,11191233.962574886,291931.50949
559651,Xi Jinping out before 2027?,No,0.9355,9552760.040675852,209139.03178
558938,Will Argentina win the 2026 FIFA World Cup?,No,0.9175,20523253.58182002,1301665.15744
559658,Will Kamala Harris win the 2028 Democratic presidential nomination?,No,0.9125,11697574.960893985,313695.32513
558940,Will Portugal win the 2026 FIFA World Cup?,No,0.9125,22638709.569206823,463885.39291
558937,Will Brazil win the 2026 FIFA World Cup?,No,0.9115,21041684.648145016,1277870.09732
559653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,No,0.9115,12992954.888926202,258277.28562
544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,No,0.897,208730.93113599968,3121.72846
558935,Will England win the 2026 FIFA World Cup?,No,0.8875,19198198.245037016,1382033.30678
553866,Will the San Antonio Spurs win the 2026 NBA Finals?,No,0.8495,29777035.804509535,269252.49737
558934,Will Spain win the 2026 FIFA World Cup?,No,0.8255,23772422.05042216,327313.10817
558936,Will France win the 2026 FIFA World Cup?,No,0.8225,29648083.55858043,621169.14687
553828,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,No,0.8195,14949386.864085091,137877.99847
553849,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,No,0.815,3012762.923204997,139264.13502
553858,Will the New York Knicks win the 2026 NBA Finals?,No,0.8105,15529074.333428612,312962.39096
556108,Will MegaETH perform an airdrop by June 30? ,No,0.8045,1545818.4629649967,3547.64965
544092,Will Harvey Weinstein be sentenced to no prison time?,Yes,0.784,363176.16007600154,4978.03927
559652,Will Gavin Newsom win the 2028 Democratic presidential nomination?,No,0.7585,25456724.351016555,236663.22133
